subj,parcel,term,beta
DMCC9953810,LH_Vis_9,hihi,0.0697228206301947
102008,LH_Vis_10,hihi,-0.0590942357422956
107321,LH_Vis_10,hihi,0.0239281070421575
115825,LH_Vis_10,hihi,0.319224198513815
123117,LH_Vis_10,hihi,-0.12589497426231
130114,LH_Vis_10,hihi,0.0999546921786777
130518,LH_Vis_10,hihi,0.0503183523263507
132017,LH_Vis_10,hihi,0.10561774074838
141422,LH_Vis_10,hihi,-0.0181413402850912
150423,LH_Vis_10,hihi,0.0494084944869879
158136,LH_Vis_10,hihi,-0.0666969426390517
161832,LH_Vis_10,hihi,0.0295147055050248
165032,LH_Vis_10,hihi,0.0428175177968176
173738,LH_Vis_10,hihi,0.21150591617663
176845,LH_Vis_10,hihi,0.0861722630928749
178950,LH_Vis_10,hihi,-0.102225365602302
182436,LH_Vis_10,hihi,0.118866679841641
203418,LH_Vis_10,hihi,0.262429437127569
204319,LH_Vis_10,hihi,-0.100367499845159
233326,LH_Vis_10,hihi,0.0265000333221317
300618,LH_Vis_10,hihi,0.109876519819307
346945,LH_Vis_10,hihi,0.0863725497403466
393550,LH_Vis_10,hihi,-0.12161511185593
448347,LH_Vis_10,hihi,0.211595418835064
580650,LH_Vis_10,hihi,0.0745870051429251
594156,LH_Vis_10,hihi,-0.000730855962966515
601127,LH_Vis_10,hihi,0.253911764195005
672756,LH_Vis_10,hihi,0.154574400731078
765864,LH_Vis_10,hihi,-0.197274744551358
849971,LH_Vis_10,hihi,-0.0669624862556624
877168,LH_Vis_10,hihi,-0.139846712264421
DMCC0472647,LH_Vis_10,hihi,-0.0954347501572704
DMCC1328342,LH_Vis_10,hihi,-0.0594660042682073
DMCC1624043,LH_Vis_10,hihi,0.216289621728367
DMCC3963378,LH_Vis_10,hihi,0.0972339355422893
